Mês,Evento,Categoria
Janeiro,1 de janeiro — Fim do mandato de Jair Bolsonaro como Presidente do Brasil e início do segundo governo e terceiro mandato de Luiz Inácio Lula da Silva.,Política
Janeiro,"7 de janeiro — Após quatro dias de impasse, Kevin McCarthy elege-se como Presidente da Câmara dos Representantes dos Estados Unidos.",Política
Janeiro,"16 de janeiro — Em Palermo, Itália, o capo italiano Matteo Messina, líder da poderosa organização criminosa Cosa Nostra, é capturado pela polícia italiana.",Política
Janeiro,"18 de janeiro — Nguyễn Xuân Phúc renúncia ao cargo de presidente do Vietnã, devido a escândalos de corrupção; e Võ Thị Ánh Xuân assume a presidência.",Política
Janeiro,22 de janeiro — Chris Hipkins é escolhido para suceder Jacinda Ardern como primeiro-ministro da Nova Zelândia.,Política
Janeiro,"25 de janeiro — Grupo Helsinque de Moscou, o mais antigo grupo de direitos humanos da Rússia, é dissolvido por ordem judicial.",Política
Janeiro,"28 de janeiro — Petr Pavel é eleito presidente da República Tcheca, ao derrotar Andrej Babiš com 58 por cento dos votos.",Política
Janeiro,1 de janeiro — Croácia adota o Euro como moeda oficial e se torna o 20.º estado-membro da Zona Euro.,Economia
Janeiro,"1 de janeiro — Entram em domínio público nos Estados Unidos os livros To the Lighthouse (de Virginia Woolf) e Men Without Women (de Ernest Hemingway), e o filme Metrópolis (dirigido por Fritz Lang), assim como outras obras publicadas em 1927.",Arte
Janeiro,"3 de janeiro — Morre, aos 90 anos, o último astronauta sobrevivente da missão Apollo 7, Walter Cunningham.",Falecimentos e Nascimentos
Janeiro,"6 de janeiro — Morre, aos 58 anos, o futebolista italiano e treinador, Gianluca Vialli.",Falecimentos e Nascimentos
Janeiro,"8 de janeiro — Morre, aos 68 anos, o futebolista e político brasileiro Roberto Dinamite.",Falecimentos e Nascimentos
Janeiro,"10 de janeiro — Constantino II da Grécia, último rei da Grécia, morre aos 82 anos.",Falecimentos e Nascimentos
Janeiro,"12 de janeiro — A cantora Lisa Marie Presley, filha de Elvis Presley, morre aos 54 anos.",Falecimentos e Nascimentos
Janeiro,"17 de janeiro — A freira supercentenária Lucile Randon, que até então era conhecida como a mulher mais longeva do mundo, morre com 118 anos e 340 dias.",Falecimentos e Nascimentos
Janeiro,"28 de janeiro — O Palmeiras se torna campeão da Supercopa do Brasil de 2023 após vencer o Flamengo por 4 a 3, conquistando seu primeiro título da competição. O jogo foi realizado no Estádio Mané Garrincha, em Brasília, no Brasil.",Esporte
Janeiro,"29 de janeiro — O tenista sérvio Novak Djokovic vence o Aberto da Austrália de 2023, depois de derrotar na final o grego Stefanos Tsitsipas, e empata com o espanhol Rafael Nadal no número de títulos do Grand Slam.",Esporte
Janeiro,8 de janeiro — Ataques às sedes dos Três Poderes brasileiros em Brasília por grupos criminosos e terroristas bolsonaristas. Cerca de 1 400 pessoas foram presas.,Desastres
